label,text
negative,这期聊的话题太浅了，听完感觉什么都没学到。
negative,感觉主播今天状态不太好，整期都有点心不在焉的。
negative,这期嘉宾说的内容我不太认同，论据不够有说服力。
negative,听到一半就听不下去了，节奏太慢了。
negative,这个选题我本来很期待的，但聊得不够深入，有点可惜。
negative,感觉这期有点敷衍，没有之前那几期用心。
negative,中间那段广告太长了，打断了整个听感。
negative,主播对这个话题好像不太了解，有些地方说得不太准确。
negative,这期的剪辑有点奇怪，好几个地方跳得很突兀。
negative,嘉宾讲了很多，但感觉都是表面的东西，没有真正的干货。
negative,本来是想睡前放松听听的，结果越听越丧。
negative,这期的观点有点偏激了，希望能更客观一些。
negative,聊了一个小时好像也没得出什么结论，有点散。
negative,今天这期信息密度太低了，感觉注水了不少。
negative,主播这次的总结太草率了，明明还有很多可以展开的。
negative,这个话题已经被很多播客聊过了，没听到什么新角度。
negative,嘉宾说的数据好像有误，评论区有人指出来了。
negative,这期配乐有点喧宾夺主了，盖过了说话的声音。
negative,感觉这期就是一个长广告，失望。
negative,本来很喜欢这个系列的，但这一期明显没有前几期好。
negative,主播这次打断嘉宾太多次了，好几个点都没展开。
negative,听完这期心情有点沉重，希望下次选题能轻松一点。
negative,讨论的角度太单一了，完全没有考虑另一面的声音。
negative,这期录音好像有点闷，听着不太舒服。
negative,嘉宾全程都在推销自己的书，内容有点变味了。
negative,说了半天也没说清楚到底想表达什么，有点混乱。
negative,这一期比上一期差了不少，希望只是偶尔的波动。
negative,主播对评论区的反馈好像完全不在意，之前提的建议一个都没改。
negative,这个话题值得聊两个小时，但二十分钟就结束了，太仓促。
negative,感觉主播今天的准备不太充分，好多地方都是即兴在说。
negative,嘉宾的表达有点绕，听了两遍还是没太明白他的意思。
negative,这期的标题和实际内容差别有点大，期待落空了。
negative,中间有一段重复了前面说过的内容，剪辑没注意到吗？
negative,聊到关键的地方突然跳过了，好想知道后面怎么样了。
negative,这期对某些群体的描述不太恰当，听着有点不舒服。
negative,音效加得太多了，听着有点累。
negative,感觉最近几期的质量都在下滑，有点担心。
negative,这期聊的内容有点过时了，很多信息都不是最新的。
negative,主播的语气今天有点不耐烦，不知道是不是我多想了。
negative,嘉宾讲的案例太少了，全是理论，听着很枯燥。
negative,这个话题本身就挺让人难过的，听完心情不太好。
negative,原来免费的内容现在要付费了，有点失落。
negative,这期结尾太突然了，感觉话还没说完就结束了。
negative,主播这次的比喻不太恰当，容易引起误解。
negative,讨论环节主播和嘉宾意见不合，气氛有点尴尬。
negative,这期录的环境好像不太好，偶尔能听到外面的声音。
negative,节目越来越短了，感觉内容在缩水。
negative,这期聊天跑题太多了，最后都忘了本来要聊什么。
negative,嘉宾的专业背景和这期话题不太匹配，聊得不够专业。
negative,主播今天的笑声有点频繁，有些地方其实并不好笑。
negative,听完这期感觉学到的东西可以用一句话概括。
negative,这期的逻辑链有点断，前后衔接不太自然。
negative,好几个听众问过的问题都没有被回应，有点遗憾。
negative,这期挺无聊的，听到一半就去听别的节目了。
negative,嘉宾说话声音太小了，好几句都没听清。
negative,感觉这期只是在复述网上已有的信息，缺乏自己的见解。
negative,本以为会深入讨论，没想到只是蜻蜓点水地带过。
negative,这期的节奏忽快忽慢，听着有点不舒服。
negative,主播今天有点太主观了，没给听众留下思考的空间。
negative,结论下得太武断了，现实情况比这复杂多了。
negative,这期翻译嘉宾原话的时候好像有些偏差。
negative,聊天过程中有好几次冷场，有点尴尬。
negative,这期提到的资料来源没有说明，不知道数据是哪来的。
negative,上次说好要做的后续内容一直没有出，等了好久了。
negative,这期把一个挺有意思的话题聊得很无趣，可惜了。
negative,背景音乐的风格和内容完全不搭，听着很出戏。
negative,感觉这期赶工了，很多细节都没有打磨好。
negative,嘉宾一直在用专业术语，也不解释一下，听不太懂。
negative,这个系列做到这一期明显没有前面的用心了。
negative,主播今天话太少了，整期都是嘉宾在说，互动太少。
negative,这期聊的内容让我有点焦虑，不太适合睡前听。
negative,好几个关键论点都没有给出足够的论据支持。
negative,感觉这期只是为了更新而更新，没有真正想好要说什么。
negative,这期的内容比较适合入门听众，对老听众来说太基础了。
negative,主播这次的态度有点敷衍，回答问题都是一两句话带过。
negative,聊到敏感话题的时候处理得不太好，容易让人不适。
negative,这期的时间线有点混乱，一会儿说这个一会儿说那个。
negative,嘉宾讲的故事不太真实，感觉有夸大的成分。
negative,原本以为是客观分析，结果全是一边倒的观点。
negative,这期推荐的资源链接都打不开了，白高兴一场。
negative,主播念错了好几个名字和术语，感觉不太专业。
negative,讨论的深度还不如评论区里网友的分析。
negative,这期请了三个嘉宾但时间不够，每个人都聊得不过瘾。
negative,感觉内容越来越商业化了，少了最初的那份真诚。
negative,这期前半段还可以，后半段明显拉垮了。
negative,嘉宾的观点和主播完全一样，没有碰撞就没有火花。
negative,这期的话题选得不太好，受众面太窄了。
negative,听完感觉有点被说教了，更希望是平等的分享。
negative,中间那段闲聊太长了，和主题完全无关。
negative,这期节目让我对这个话题更困惑了，没有解答反而多了疑问。
negative,等了两周就等来这么一期，说不失望是假的。
negative,这期声音有点电流声，虽然不严重但一直在。
negative,本来是来听故事的，结果全是大道理，不太对味。
negative,这期缺少不同立场的声音，讨论变成了一言堂。
negative,最近几期都在重复类似的主题，希望能有些新鲜的话题。
negative,这期的节目笔记和实际内容对不上，看着有点迷惑。
negative,听到最后也没明白这期的核心观点是什么。
negative,感觉这一期就是凑数的，没什么记忆点。
positive,这期聊的话题太有共鸣了，感觉就是在说我自己！
positive,开头那段太搞笑了，在公司差点笑出声来哈哈哈
positive,这期的信息量好大，我得再听一遍才能消化
positive,终于等到更新了！一看到推送就点进来了
positive,这期嘉宾讲得真好，希望以后还能请他来
positive,听完这期我立刻去下单了主播推荐的那本书
positive,天哪这期居然有一个半小时，太满足了！
positive,这个观点我之前从来没想到过，长见识了
positive,主播举的那个例子太形象了，一下就懂了
positive,最后那段总结说得太好了，直接截图保存了
positive,这期的音质好棒，戴耳机听体验感拉满
positive,今天这期的节奏特别舒服，不紧不慢刚刚好
positive,这期比上期还精彩，你们是怎么做到越来越好的
positive,中间那段关于职场的讨论说到我心坎里了
positive,谢谢这期的分享，正好解决了我最近的困惑
positive,这期的选题太及时了，昨天刚遇到这个问题
positive,刚听完第一遍，准备边做笔记边听第二遍
positive,这个系列终于出第二期了！等了好久好久！
positive,今天这期适合反复听，每一段都是干货
positive,嘉宾分享的那个亲身经历太打动人了
positive,主播今天状态好好，能感觉到聊得特别开心
